begin,end,id,flow,occupancy,speed,nVehEntered
32400.00,36000.00,e1det_688171462#2_2,165.00,5.65,4.40,165
32400.00,36000.00,e1det_688214484#0_0,81.00,24.39,5.27,98
32400.00,36000.00,e1det_688214484#0_1,46.00,10.74,6.88,50
32400.00,36000.00,e1det_688214484#0_2,212.00,4.47,7.57,212
36000.00,39600.00,e1det_412441780#1_0,106.00,9.38,5.63,113
36000.00,39600.00,e1det_412441780#1_1,233.00,4.45,8.00,233
36000.00,39600.00,e1det_688169644#0_0,129.00,3.13,7.40,128
36000.00,39600.00,e1det_688169644#0_1,56.00,1.17,9.92,57
36000.00,39600.00,e1det_688169644#0_2,31.00,0.79,5.69,31
36000.00,39600.00,e1det_688169644#0_3,173.00,5.76,4.57,173
36000.00,39600.00,e1det_688171462#2_0,78.00,5.86,9.36,84
36000.00,39600.00,e1det_688171462#2_1,43.00,1.31,7.76,43
36000.00,39600.00,e1det_688171462#2_2,169.00,6.25,4.24,170
36000.00,39600.00,e1det_688214484#0_0,74.00,2.74,5.53,85
36000.00,39600.00,e1det_688214484#0_1,47.00,9.74,6.34,50
36000.00,39600.00,e1det_688214484#0_2,205.00,4.29,7.63,205
39600.00,43200.00,e1det_412441780#1_0,94.00,3.04,5.69,98
39600.00,43200.00,e1det_412441780#1_1,216.00,4.02,9.09,216
39600.00,43200.00,e1det_688169644#0_0,133.00,3.66,6.28,133
39600.00,43200.00,e1det_688169644#0_1,81.00,1.48,9.97,82
39600.00,43200.00,e1det_688169644#0_2,39.00,0.96,6.17,39
39600.00,43200.00,e1det_688169644#0_3,178.00,5.74,4.51,178
39600.00,43200.00,e1det_688171462#2_0,94.00,1.96,11.87,98
39600.00,43200.00,e1det_688171462#2_1,34.00,3.94,6.54,36
39600.00,43200.00,e1det_688171462#2_2,174.00,6.26,4.17,173
39600.00,43200.00,e1det_688214484#0_0,67.00,1.84,5.68,71
39600.00,43200.00,e1det_688214484#0_1,47.00,1.05,6.43,50
39600.00,43200.00,e1det_688214484#0_2,223.00,3.93,8.93,223
43200.00,46800.00,e1det_412441780#1_0,93.00,11.11,5.61,100
43200.00,46800.00,e1det_412441780#1_1,214.00,3.95,8.86,214
43200.00,46800.00,e1det_688169644#0_0,134.00,3.89,5.54,134
43200.00,46800.00,e1det_688169644#0_1,85.00,1.53,9.72,86
43200.00,46800.00,e1det_688169644#0_2,54.00,1.32,7.70,54
43200.00,46800.00,e1det_688169644#0_3,182.00,6.32,4.56,182
